"name","lat","lng","population","toBernPerHMon","toBernPerHTue","toBernPerHWed","toBernPerHThu","toBernPerHFri","toBernPerHSat","toBernPerHSun","toBernAnyDay","toZhPerHMon","toZhPerHTue","toZhPerHWed","toZhPerHThu","toZhPerHFri","toZhPerHSat","toZhPerHSun","toZhAnyDay","avDurToZh","avDurToBern"
"Münsingen",46.873978,7.563194,11813,4.63157894736842,13.5789473684211,3.47368421052632,3.52631578947368,13.8684210526316,12.8157894736842,4.77443609022556,8.09559613319012,0,0,0,0,0,0,0,0,NA,21.9677928488469
"Oppligen",46.819957,7.595542,658,0,2,0,0,1.5,1.5,0,0.714285714285714,0,0,0,0,0,0,0,0,NA,33.6
"Rubigen",46.898862,7.544517,2920,2.78947368421053,6.73684210526316,2.63157894736842,2.68421052631579,7.97368421052632,8.13157894736842,2.68421052631579,4.80451127819549,0,0,0,0,0,0,0,0,NA,18.9908333333333
"Tägertschi",46.876308,7.585577,386,3.21052631578947,2.21052631578947,3.42105263157895,2.57894736842105,4.21052631578947,3.15789473684211,3.05263157894737,3.1203007518797,0,0,0,0,0,0,0,0,NA,27.4776119402985
"Worb",46.930862,7.564552,11449,21.6923976608187,22.9818713450292,21.9029239766082,22.0608187134503,23.9627325890484,24.3492822966507,17.5994152046784,22.0784916837548,0,0,0,0,0,0,0,0,NA,22.7916784375448
"Zäziwil",46.901015,7.661131,1642,3.31578947368421,3.31578947368421,3.57894736842105,3.73684210526316,4.31578947368421,4.21052631578947,3.15789473684211,3.66165413533835,0,0,0,0,0,0,0,0,NA,32.010101010101
"Allmendingen",46.913624,7.521202,545,10.3157894736842,15.6578947368421,10.3157894736842,10.3157894736842,14.8545454545455,14.8545454545455,6.63157894736842,11.8494190020506,0,0,0,0,0,0,0,0,NA,18.5561293436293
"Wichtrach",46.845731,7.578342,4115,2.68421052631579,8.63157894736842,2.52631578947368,2.57894736842105,6.86842105263158,6.86842105263158,2.42105263157895,4.65413533834586,0,0,0,0,0,0,0,0,NA,26.8789772727273
"Ferenbalm",46.948833,7.210901,1234,4.42105263157895,4.42105263157895,4.36842105263158,4.42105263157895,6.15789473684211,6,3.24,4.7184962406015,0,0,0,0,0,0,0,0,NA,19.9252336448598
"Frauenkappelen",46.953409,7.335662,1207,48.3517543859649,47.509649122807,46.4043859649123,46.9833333333333,47.7423558897243,43.5167919799499,41.6966666666667,46.0292767633369,0,0,0,0,0,0,0,0,NA,14.8952877674685
"Gurbrü",46.964978,7.216489,246,0,0,0,0,1,1,0,0.285714285714286,0,0,0,0,0,0,0,0,NA,25
"Laupen",46.903302,7.239642,3079,0,2,2,2,16,16,1,5.57142857142857,0,0,0,0,0,0,0,0,NA,29.5
"Mühleberg",46.953371,7.261594,2854,0,0,0,0,3,3,0,0.857142857142857,0,0,0,0,0,0,0,0,NA,17.3333333333333
"Neuenegg",46.895472,7.303442,5194,26.643567251462,22.3850877192982,22.7046783625731,23.4573099415205,40.5330409356725,43.8277777777778,23.4466666666667,28.9997326649958,0,0,0,0,0,0,0,0,NA,19.2362761060775
"Aegerten",47.120241,7.288497,1874,0,4,0,0,8,8,0,2.85714285714286,0,0,0,0,0,0,0,0,NA,54.5
